date,site.name,site,site.block,num.transect ,quadrat,Bare rock,Rubble,Sand,Bare space,Acanthastrea,Acropora  other,Acropora  pulchra,Acropora hyacinthus,Acropora austera,Astreopora,Cyphastrea,Favia,Fungia,Gardineroseris,Heropolitha,Leptastrea,Leptoseris,Lobophyllia,Millepora,Montastraea,Montipora,Pachyseris,Pavona,Pleuractis ,Pocillopora other,Pocillopora.acuta,Pocillopora meandrina,Pocillopora verrucosa,Porites other,Porites lobata,Porites rus,Psammacora,Sandolitha,Stylocoeniella,Tubastrea,CCA,Fleshy algae,Turf algae,Macroalgae,coral.cover,algal.cover,TOTALS
20190624,MAN,B,1,1,1,,0.9,,,,,,,,,,0.02,0.04,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,0.1,0,1
20190624,MAN,B,1,1,2,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.5,,0,0.5,1
20190624,MAN,B,1,1,3,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,0.1,0,1
20190624,MAN,B,1,1,4,,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,MAN,B,1,1,5,,0.96,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0,1
20190624,MAN,B,1,1,6,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.1,,,,0.04,0,1
20190624,MAN,B,1,1,7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0,0.2,1
20190624,MAN,B,1,1,8,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,0.82,,0.08,0.82,1
20190624,MAN,B,1,1,9,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.3,,,,,,,,,,0.5,0,1
20190624,MAN,B,1,1,10,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,0,0.2,1
20190624,MAN,B,1,1,11,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,0.1,,,,,,0.2,,0.55,,0.25,0.55,1
20190624,MAN,B,1,1,12,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.8,0.1,0.05,0.9,1
20190624,MAN,B,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,0.9,,0.1,0.9,1
20190624,MAN,B,1,1,14,,,,,,,0.05,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,0.05,,0.8,,0.15,0.8,1
20190624,MAN,B,1,1,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,MAN,B,1,1,16,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,MAN,B,1,1,17,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,0.5,1
20190624,MAN,B,1,1,18,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,MAN,B,1,1,19,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,MAN,B,1,1,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,MAN,B,1,2,21,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.05,0.1,,0,0.15,1
20190624,MAN,B,1,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.1,0.7,0,0.8,1
20190624,MAN,B,1,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.25,,,,,,,,0.1,0.15,,,0.75,0.15,1
20190624,MAN,B,1,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,0.75,,,0.25,0.75,1
20190624,MAN,B,1,2,25,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.05,0.2,,0,0.25,1
20190624,MAN,B,1,2,26,0.48,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,0.1,0.28,0.06,0.38,1
20190624,MAN,B,1,2,27,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,0.3,,0.4,0.3,1
20190624,MAN,B,1,2,28,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0,0,1
20190624,MAN,B,1,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,0,1
20190624,MAN,B,1,2,30,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.55,0.25,0,0.8,1
20190624,MAN,B,1,2,31,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.9,0,1
20190624,MAN,B,1,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0,1
20190624,MAN,B,1,2,33,,0.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,MAN,B,1,2,34,,0.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,MAN,B,1,2,35,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,0.15,0,1
20190624,MAN,B,1,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0,1
20190624,MAN,B,1,2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0,1
20190624,MAN,B,1,2,38,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,1,0,1
20190624,MAN,B,1,2,39,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,MAN,B,1,2,40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,AH,A,1,1,1,,0.2,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,,0.1,0.3,1
20190624,AH,A,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.2,,,,,0.4,,0.2,0.1,0.3,0.3,1
20190624,AH,A,1,1,3,,0.2,,,,,,,,,,0.1,,,,,,,,,,,,,,0.1,,,,,,,,,,0.4,,,0.2,0.2,0.2,1
20190624,AH,A,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,0.1,,0.8,,0.1,0.8,1
20190624,AH,A,1,1,5,,0.8,,,,,,,,,,0.08,,,,,,,,,,,,,,0.02,,,,,,,,,,0.1,,,,0.1,0,1
20190624,AH,A,1,1,6,,0.05,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.05,0.9,1
20190624,AH,A,1,1,7,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.75,0.06,0.15,0.81,1
20190624,AH,A,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,1
20190624,AH,A,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,0.9,,0.1,0.9,1
20190624,AH,A,1,1,10,,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0.1,1
20190624,AH,A,1,1,11,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0,0.9,1
20190624,AH,A,1,1,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,AH,A,1,1,13,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,AH,A,1,1,14,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,AH,A,1,1,15,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.2,,,,,,0.1,,,,0.3,0,1
20190624,AH,A,1,1,16,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0,0.8,1
20190624,AH,A,1,1,17,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.1,0,0.6,1
20190624,AH,A,1,1,18,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,0.5,,0.2,0.5,1
20190624,AH,A,1,1,19,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,AH,A,1,1,20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,AH,A,1,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0,1
20190624,AH,A,1,2,22,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,0.25,,,,,,,0.05,0.5,0.45,0.55,1
20190624,AH,A,1,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0,1
20190624,AH,A,1,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.1,,,,,,,,0.4,0.6,0.4,1
20190624,AH,A,1,2,25,,,,,,,0.05,,,,,0.05,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.1,,0.9,0.1,1
20190624,AH,A,1,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.1,,0,1,1
20190624,AH,A,1,2,27,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0,0,1
20190624,AH,A,1,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.05,,0.85,,0.1,0.85,1
20190624,AH,A,1,2,29,,,0.4,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,0.05,,,,0.05,,0.3,,0.25,0.3,1
20190624,AH,A,1,2,30,,0.2,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,0.15,,,,,,,,0.6,,0.2,0.6,1
20190624,AH,A,1,2,31,,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2,,,,,,,0.05,,0.5,0.05,1
20190624,AH,A,1,2,32,,,0.15,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.25,,,,,,0.2,,0.3,,0.35,0.3,1
20190624,AH,A,1,2,33,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,0.2,0.2,0.4,0.4,1
20190624,AH,A,1,2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.9,0,1,1
20190624,AH,A,1,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,0.85,0.15,0.85,1
20190624,AH,A,1,2,36,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,0.1,,0.1,,0.1,0.1,1
20190624,AH,A,1,2,37,,0.1,,,,,,,,,,,,,,,,,,,,,0.1,,,0.2,,,,0.6,,,,,,,,,,0.9,0,1
20190624,AH,A,1,2,38,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,0.5,,,,0.3,0,1
20190624,AH,A,1,2,39,,,0.25,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.25,,0.5,0.25,1
20190624,AH,A,1,2,40,,0.85,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190708,HH,A,2,1,1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.9,0,1
20190708,HH,A,2,1,2,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.9,0,1
20190708,HH,A,2,1,3,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,0,1
20190708,HH,A,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.7,,,,,,,0.1,,0.9,0.1,1
20190708,HH,A,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.1,,0.8,,0.1,0.8,1
20190708,HH,A,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.1,,0.7,,0.2,0.7,1
20190708,HH,A,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.1,,0.9,0.1,1
20190708,HH,A,2,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.8,,,,,,,,,1,0,1
20190708,HH,A,2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.1,,0.9,0.1,1
20190708,HH,A,2,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,0.4,,,,,,,0.3,,0.7,0.3,1
20190708,HH,A,2,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.6,,,,,0.1,,0.2,,0.7,0.2,1
20190708,HH,A,2,1,12,,,,,,,,,,,,0.1,,,,,,,,,,,,,,0.1,,,,,0.2,,,,,0.3,,0.3,,0.4,0.3,1
20190708,HH,A,2,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.2,,0.1,,0.7,0.1,1
20190708,HH,A,2,1,14,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,0.2,0.3,0.1,,0.3,0.4,1
20190708,HH,A,2,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.3,,,,,,,0.1,,0.9,0.1,1
20190708,HH,A,2,1,16,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,0.2,0,1
20190708,HH,A,2,1,17,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,0,0.2,1
20190708,HH,A,2,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.6,,,,,,,,0.2,,0.8,0.2,1
20190708,HH,A,2,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.2,,0.8,0.2,1
20190708,HH,A,2,1,20,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0,0.8,1
20190708,HH,A,2,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.7,,0,0.9,1
20190708,HH,A,2,2,22,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.1,0.2,,,0.1,0.2,1
20190708,HH,A,2,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,0.8,0.1,,,0.1,0.1,1
20190708,HH,A,2,2,24,,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,0.1,,,,0.4,0,1
20190708,HH,A,2,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,0.6,0.1,,,0.3,0.1,1
20190708,HH,A,2,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8,,,0,0.8,1
20190708,HH,A,2,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.2,,,,,0.5,0.2,,,0.3,0.2,1
20190708,HH,A,2,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,0.1,0.5,,,0.4,0.5,1
20190708,HH,A,2,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,0.3,,,,0.2,0.2,,,0.6,0.2,1
20190708,HH,A,2,2,30,,,,,,,,,,,,0.2,,,,,,,,,,,,,,0.1,,,,,0.3,,,,,0.1,0.1,0.2,,0.6,0.3,1
20190708,HH,A,2,2,31,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.9,0.05,0.95,1
20190708,HH,A,2,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.7,,,,,,,0.1,,0.9,0.1,1
20190708,HH,A,2,2,33,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.1,,0.2,0.6,0.05,0.8,1
