"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","Light_Dark"
"1","BLANK1_PI_0_O2",180.493725,-0.00132500000000068,26.8023333333333,NA
"2","BLANK2_PI_0_O2",203.8065,-0.00109999999999899,26.642,NA
"3","PA20_PI_0_O2",165.159295,-0.0152950000000001,26.6906666666667,NA
"4","PA23_PI_0_O2",133.6434,-0.0213999999999996,26.702,NA
"5","PA24_PI_0_O2",173.809236666667,-0.0145700000000002,26.747,NA
"6","PA25_PI_0_O2",164.499795,-0.0231949999999989,26.5353333333333,NA
"7","PA29_PI_0_O2",151.737933809524,-0.0118385714285721,26.674,NA
"8","PA30_PI_0_O2",135.490449047619,-0.0259728571428578,26.662,NA
"9","PA33_PI_0_O2",173.728337142857,-0.0129085714285719,26.57,NA
"10","PA34_PI_0_O2",177.484585,-0.00888500000000022,26.6048333333333,NA
"11","BLANK1_PI_134_O2",175.53924,-0.000839999999999701,27.05,NA
"12","BLANK2_PI_134_O2",199.194863333333,-0.00153000000000023,26.968,NA
"13","PA20_PI_134_O2",145.83257,0.00343000000000009,27.009,NA
"14","PA23_PI_134_O2",103.184615,0.00418500000000037,26.996,NA
"15","PA24_PI_134_O2",150.717957619048,0.00223285714285682,27.023,NA
"16","PA25_PI_134_O2",100.692665,-0.00636499999999982,26.787,NA
"17","PA29_PI_134_O2",156.190455,0.00944500000000062,26.989,NA
"18","PA30_PI_134_O2",75.8457,-0.0027000000000001,26.9915,NA
"19","PA33_PI_134_O2",162.161485,0.00631500000000017,26.837,NA
"20","PA34_PI_134_O2",178.542075,0.00592500000000058,26.935,NA
"21","BLANK1_PI_217_O2",174.182205,-0.00130499999999955,27.093,NA
"22","BLANK2_PI_217_O2",197.745495,-0.000794999999999862,27.018,NA
"23","PA20_PI_217_O2",164.734857142857,0.0125714285714279,27.0635,NA
"24","PA23_PI_217_O2",125.0666,0.0154000000000003,27.052,NA
"25","PA24_PI_217_O2",162.677235,0.0079649999999998,27.0688333333333,NA
"26","PA25_PI_217_O2",100.843075,0.00142500000000041,26.827,NA
"27","PA29_PI_217_O2",189.033625,0.0193750000000003,27.047,NA
"28","PA30_PI_217_O2",84.4634,0.00659999999999997,27.0471666666667,NA
"29","PA33_PI_217_O2",183.604155,0.0132450000000003,26.889,NA
"30","PA34_PI_217_O2",200.87531,0.0141900000000001,26.982,NA
"31","BLANK1_PI_347_O2",173.049447142857,-1.85714285714488e-05,27.153,NA
"32","BLANK2_PI_347_O2",196.61535,0.000149999999999295,27.086,NA
"33","PA20_PI_347_O2",199.325295,0.0226050000000001,27.14,NA
"34","PA23_PI_347_O2",167.76732,0.0282799999999998,27.131,NA
"35","PA24_PI_347_O2",185.556569047619,0.0169071428571419,27.1408333333333,NA
"36","PA25_PI_347_O2",112.688788571429,0.00792571428571394,26.897,NA
"37","PA29_PI_347_O2",240.07155,0.0309499999999994,27.1351666666667,NA
"38","PA30_PI_347_O2",110.5652,0.0174000000000004,27.128,NA
"39","PA33_PI_347_O2",217.32822,0.0221799999999996,26.967,NA
"40","PA34_PI_347_O2",236.127945,0.0229550000000014,27.0578333333333,NA
"41","BLANK1_PI_520_O2",172.00177,-0.000970000000000307,27.265,NA
"42","BLANK2_PI_520_O2",195.53879,-0.00308999999999941,27.201,NA
"43","PA20_PI_520_O2",253.821075714286,0.0350671428571422,27.265,NA
"44","PA23_PI_520_O2",235.869085,0.0451150000000007,27.276,NA
"45","PA24_PI_520_O2",220.319667142857,0.0227614285714269,27.272,NA
"46","PA25_PI_520_O2",138.26136,0.0172400000000002,27.006,NA
"47","PA29_PI_520_O2",311.345315,0.0418849999999992,27.2856666666667,NA
"48","PA30_PI_520_O2",156.457740952381,0.0297828571428569,27.27,NA
"49","PA33_PI_520_O2",264.240445,0.0297549999999998,27.092,NA
"50","PA34_PI_520_O2",288.49467,0.0301299999999988,27.187,NA
"51","BLANK1_PI_61_O2",178.286975,-0.000675000000000022,26.9461666666667,NA
"52","BLANK2_PI_61_O2",201.74978,-0.00137999999999945,26.849,NA
"53","PA20_PI_61_O2",149.13182,-0.00432000000000045,26.883,NA
"54","PA23_PI_61_O2",110.12109,-0.00828999999999965,26.876,NA
"55","PA24_PI_61_O2",156.841745,-0.00604499999999977,26.921,NA
"56","PA25_PI_61_O2",130.71678,-0.0137800000000007,26.683,NA
"57","PA29_PI_61_O2",144.001333809524,-0.00123857142857178,26.863,NA
"58","PA30_PI_61_O2",101.50705,-0.0134500000000001,26.868,NA
"59","PA33_PI_61_O2",160.433004285714,-0.00414714285714353,26.724,NA
"60","PA34_PI_61_O2",171.383469047619,-0.00199285714285751,26.811,NA
"61","BLANK1_PI_742_O2",170.72773,-0.00182999999999964,27.3936666666667,NA
"62","BLANK2_PI_742_O2",194.244485,-0.00148500000000013,27.3325,NA
"63","PA20_PI_742_O2",312.05816,0.01264,27.416,NA
"64","PA23_PI_742_O2",329.02114,0.04786,27.449,NA
"65","PA24_PI_742_O2",266.406655,0.0252450000000003,27.414,NA
"66","PA25_PI_742_O2",176.37826,0.0217399999999998,27.1481666666667,NA
"67","PA29_PI_742_O2",386.67606,0.0331399999999991,27.468,NA
"68","PA30_PI_742_O2",221.077805,0.0347950000000003,27.439,NA
"69","PA33_PI_742_O2",323.21548,0.03012,27.251,NA
"70","PA34_PI_742_O2",347.850235,0.0304650000000009,27.338,NA
"71","BLANK1_PI_76_O2",176.756145714286,-0.00100285714285809,27,NA
"72","BLANK2_PI_76_O2",200.34816,-0.00216000000000008,26.9155,NA
"73","PA20_PI_76_O2",142.592125,-0.00302499999999977,26.958,NA
"74","PA23_PI_76_O2",100.155415,-0.00541500000000014,26.943,NA
"75","PA24_PI_76_O2",149.785563809524,-0.00346857142857175,26.9743333333333,NA
"76","PA25_PI_76_O2",110.789112857143,-0.0115414285714286,26.739,NA
"77","PA29_PI_76_O2",144.748045,0.000555000000000803,26.93,NA
"78","PA30_PI_76_O2",82.4887,-0.00920000000000002,26.93,NA
"79","PA33_PI_76_O2",156.57501,-0.00260999999999963,26.7826666666667,NA
"80","PA34_PI_76_O2",171.050637142857,0.000791428571428723,26.876,NA
